Score,Date,C.R./Slope,PCC,info,Differential,Course,Stats
85A,09/18/2023,70.4/130,-,12.7,The Valley Club North/West,No Stats
84N,08/14/2023,69.8/125,-,12.8,The Valley Club South/North,No Stats
79A,08/07/2023,71.8/125,-,6.5,The Valley Club South/North,No Stats
80A,06/26/2023,72.4/132,-,6.5,The Valley Club North/West,No Stats
81A,06/23/2023,71.6/130,-,8.2,Elkhorn Ridge Golf Club,No Stats
81A,06/21/2023,71.6/130,-,8.2,Elkhorn Ridge Golf Club,No Stats
86A,06/19/2023,71.5/131,-,12.5,The Valley Club North/West,No Stats
83A,06/16/2023,71.6/130,-,9.9,Elkhorn Ridge Golf Club,No Stats
87A,06/12/2023,69.9/122,-,15.8,The Valley Club South/North,No Stats
87A,06/11/2023,70.4/134,-1,14.8,Myrtlewood Golf Club Palmetto Course,No Stats
84A,06/10/2023,72.2/138,-,9.7,Prestwick Golf Club,No Stats
78A,06/09/2023,72.0/134,-,5.1,Myrtle Beach National King's North,No Stats
86N,06/08/2023,70.2/125,-,14.6,Charles L. Sifford GC & Chapel Hill CC,No Stats
84H,06/08/2023,72.4/133,-,9.9,Chapel Hill CC,No Stats
83A,06/06/2023,71.7/134,-1,10.4,Old Chatham GC,No Stats
90A,06/03/2023,73.2/138,-,13.8,Divide,No Stats
83H,06/02/2023,70.2/125,-,11.6,Chapel Hill CC,No Stats
82N,06/02/2023,74.7/142,-,5.8,Old Chatham GC & Elkhorn Ridge Golf Club,No Stats
90A,05/31/2023,73.0/136,-,14.1,Old Chatham GC,No Stats
78A,05/29/2023,71.8/125,-,5.6,The Valley Club South/North,trending_up
78N,05/18/2023,70.6/131,-,6.5,Canyon Springs Golf Course & The Valley Club - North,No Stats
84A,05/18/2023,71.2/123,-,11.8,Canyon Springs Golf Course,trending_up
94A,04/25/2023,75.8/148,-,13.9,PGA West Pete Dye Stadium Course,trending_up
88A,04/25/2023,74.3/136,-,11.4,La Quinta Country Club,trending_up
88A,04/23/2023,74.3/136,-,11.4,La Quinta Country Club,trending_up
87H,12/27/2024,70.4/129,-,14.5,Chapel Hill CC,No Stats
84H,12/22/2024,70.4/129,-,11.9,Chapel Hill CC,-
83H,12/19/2024,70.4/129,-,11.0,Chapel Hill CC,No Stats
85H,12/07/2024,70.4/129,-,12.8,Chapel Hill CC,No Stats
83A,12/01/2024,71.7/134,-1,10.4,Old Chatham GC,No Stats
83A,11/29/2024,71.7/134,-,9.5,Old Chatham GC,No Stats
89A,09/06/2024,70.4/124,-,17.0,Wendell CC,No Stats
85A,08/20/2024,69.0/120,-,15.1,Raleigh GA,No Stats
89H,08/18/2024,70.4/129,-,16.3,Chapel Hill CC,No Stats
89A,08/05/2024,70.7/135,-,15.3,Lonnie Poole GC at N.C. State University,No Stats
81A,06/14/2024,71.0/129,-1,9.6,Castle Bay CC,No Stats
88H,06/12/2024,72.5/133,-,13.2,Chapel Hill CC,No Stats
90H,06/11/2024,72.5/133,-,14.9,Chapel Hill CC,-
89H,06/01/2024,70.4/129,-,16.3,Chapel Hill CC,No Stats
91H,04/27/2024,72.5/133,-,15.7,Chapel Hill CC,No Stats
85H,04/26/2024,70.4/129,-,12.8,Chapel Hill CC,trending_up
89A,02/06/2025,72.9/139,-,13.1,Lonnie Poole GC at N.C. State University,No Stats
